Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
03-DEC-2020,3315.2,3322.45,3301.65,3307.4,120390903,1663.33
04-DEC-2020,3323.55,3331,3300,3322.05,129441110,1970.96
07-DEC-2020,3338.1,3359.35,3336.4,3349.95,124918324,1924.58
08-DEC-2020,3372.2,3380.5,3309.1,3349.75,124423188,2319.94
09-DEC-2020,3365.1,3389.3,3363.9,3378.85,111505053,2924.72
10-DEC-2020,3380.7,3380.75,3320.85,3362.9,84002192,1786.9
11-DEC-2020,3381,3409.55,3362.65,3393.5,142803184,1953.29
14-DEC-2020,3423.65,3441.65,3407.95,3427.75,131707789,1826.51
15-DEC-2020,3435.5,3438.25,3408.2,3429.6,87613748,1448.53
16-DEC-2020,3449,3481.2,3444.6,3465.1,142773894,2197.19
17-DEC-2020,3487.4,3503.35,3461.25,3474.2,132980603,1999.48
18-DEC-2020,3490.55,3498.9,3435.8,3480.9,107755265,1939.05
21-DEC-2020,3485.4,3493.45,3223.35,3308.85,110959249,2322.89
22-DEC-2020,3293.5,3360.75,3183.1,3327.15,120896645,2382.85
23-DEC-2020,3352.15,3428.9,3350.75,3425.5,87354884,2055.39
24-DEC-2020,3449.8,3473.4,3441.35,3457,72601922,1655.62
28-DEC-2020,3488.45,3520.7,3483.85,3507.9,66165597,1718.38
29-DEC-2020,3528.15,3546.55,3495,3518.6,70808472,1737.34
30-DEC-2020,3527,3534.5,3489.6,3530.6,68979528,1618.95
31-DEC-2020,3542.05,3555.75,3527.3,3535.05,102494762,1985.31
